,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking
11609,55761149,39.0,5.609375,31.1015625,0.28125,0.15625,0.0234375,0.0,3.0,18.0,0.0,0.0,-0.001281,6.1e-05
11610,55856628,39.0,5.59375,31.1015625,0.28125,0.15625,0.0234375,0.0,3.0,18.0,0.0,0.0,-0.001281,6.1e-05
11611,56358114,39.0,11.4140625,34.3671875,0.0,0.0,-37.5625,1.0,1.0,0.0,36.21875,-37.5625,-0.002379,0.0
11612,56857677,39.0,-33.3671875,51.9765625,0.0,0.0,21.125,1.0,1.0,0.0,61.7734375,21.125,0.004209,0.0
11613,57862364,39.0,-4.5859375,56.453125,0.0,0.0,-29.40625,1.0,1.0,0.0,56.640625,-29.40625,0.00061,0.0
11614,57962983,39.0,-4.7734375,52.7421875,0.0,0.0,-29.4609375,1.0,1.0,1.0,52.8203125,-29.34375,0.0006709999999999999,0.0
11615,59054037,39.0,-1.9921875,23.7578125,0.0,0.0,40.3984375,1.0,1.0,0.0,23.84375,40.3984375,0.00061,0.0
11616,59548907,39.0,-4.9765625,22.3125,0.3515625,0.0,39.1796875,1.0,1.0,0.0,22.8671875,39.1796875,0.001647,0.000122
11617,57029,40.0,12.4453125,139.984375,10.921875,0.5078125,0.046875,0.0,3.0,15.0,0.0,0.0,-0.00061,0.000549
11618,155173,40.0,11.7578125,139.984375,10.9140625,1.0390625,0.0859375,0.0,4.0,16.0,140.484375,0.0,-0.000549,0.000549
11619,257037,40.0,11.3203125,140.0,10.90625,1.328125,0.1015625,0.0,4.0,17.0,140.6875,0.0,-0.000549,0.000549
11620,353951,40.0,10.75,140.03125,10.890625,1.71875,0.1328125,0.0,2.0,18.0,140.6875,0.0,-0.000488,0.000549
11621,460894,40.0,10.578125,140.0390625,10.890625,1.71875,0.1328125,0.0,3.0,18.0,0.0,0.0,-0.000488,0.000549
11622,555050,40.0,10.40625,140.0546875,10.890625,1.71875,0.1328125,0.0,3.0,18.0,0.0,0.0,-0.000488,0.000549
11623,651957,40.0,10.859375,139.984375,10.8125,1.140625,0.0859375,0.0,4.0,19.0,140.484375,0.0,-0.000488,0.000549
11624,759134,40.0,11.25,139.953125,10.6484375,0.6875,0.0546875,0.0,4.0,20.0,140.6875,0.0,-0.000549,0.000549
11625,863190,40.0,11.1796875,139.9609375,10.6484375,0.6875,0.0546875,0.0,3.0,20.0,0.0,0.0,-0.000549,0.000549
11626,956647,40.0,11.1484375,139.9453125,10.515625,0.65625,0.046875,0.0,4.0,21.0,140.484375,0.0,-0.000549,0.000549
11627,1057421,40.0,11.390625,139.984375,10.2890625,0.390625,0.03125,0.0,4.0,22.0,141.28125,0.0,-0.000549,0.000549
11628,1154576,40.0,11.34375,139.9921875,10.2890625,0.390625,0.03125,0.0,3.0,22.0,0.0,0.0,-0.000549,0.000549
11629,1258671,40.0,11.3046875,139.9921875,10.2890625,0.390625,0.03125,0.0,3.0,21.0,0.0,0.0,-0.000549,0.000549
11630,1356816,40.0,11.265625,140.0,10.2890625,0.390625,0.03125,0.0,3.0,20.0,0.0,0.0,-0.000549,0.000549
11631,1463331,40.0,11.2265625,140.0,10.2890625,0.390625,0.03125,0.0,3.0,19.0,0.0,0.0,-0.000549,0.000549
